,160290 (CHATEAUNEUF SUR CHARENTE PDC1),170360 (LA ROCHELLE PDC1),179650 (PERIGNY PPDC),230980 (BENEVENT L ABBAYE PDC2),240480 (MONTPON MENESTEROL PDC1),240490 (SOURZAC PDC1),240500 (NONTRON PDC1),241240 (SAINT AULAYE PDC1),249650 (MARSAC SUR L ISLE PPDC),330185 (AYGUEMORTE AGENCE COLIS),330297 (ST MAGNE DE CASTILLON PDC1),331300 (SAINT MARTIN LACAUSSADE PDC1),331330 (PUGNAC PDC1),331450 (COUTRAS PDC1),331810 (SAINT ANDRE DE CUBZAC PDC1),331940 (SAINT MEDARD EN JALLES PPDC),332150 (CESTAS PDC1),335520 (TARGON PDC1),872240 (LIMOGES ACP),872260 (BESSINES SUR GARTEMPE PDC1),872440 (CHATEAUPONSAC PDC2)
330297 (ST MAGNE DE CASTILLON PDC1),-0.06168735624944128,-0.20166057377615182,0.052286746164667386,0.0015696198158417865,-0.3780043458528636,-0.28290997715038424,-0.43000704199868894,-0.5336695349353332,-0.10031722318741382,0.7454305816713661,1.0,-0.5285170764786208,-0.5308671656822378,-0.5281237050052231,-0.5067339894006362,-0.07476424458790068,-0.43494969821892704,-0.055535520895140356,0.5444140298540281,-0.36394688954312376,0.007944746414786923
331300 (SAINT MARTIN LACAUSSADE PDC1),0.14296745625820542,0.5073734452634058,0.10080823039369365,-0.012149177524694228,0.9133705702046365,0.7302053174367718,0.8993486271004215,0.9194835667080048,0.6415334875328171,-0.5435824128635358,-0.5285170764786209,1.0,0.9057298126287143,0.9622804113538681,0.97131097337439,0.6153748892705927,0.7297154446677896,0.2645524533731083,-0.505419012695595,0.8213734717971761,-0.11144922624245066
331330 (PUGNAC PDC1),0.02693732364749571,0.14205143667315775,0.4616203771953365,-0.09665414473248488,0.7851502380498195,0.6703751816930544,0.7836189572956851,0.815927484612972,0.737217200995217,-0.5690609898049299,-0.5308671656822378,0.9057298126287142,1.0,0.9138735001405697,0.8810279223214192,0.6686877053300466,0.627972087829915,0.15035722776205537,-0.4907567252159766,0.7361091230722688,-0.21409576198040353
331450 (COUTRAS PDC1),-0.030038523156367063,0.4610083595765697,0.1639584260336905,-0.14278891894452664,0.8978549684213779,0.8019074094952513,0.8946455445598227,0.9235889149775084,0.7374912598162566,-0.5489031475163385,-0.5281237050052232,0.962280411353868,0.9138735001405698,1.0,0.9505698771867409,0.7211860591621368,0.7347497705064583,0.06358131263622104,-0.49523027889354565,0.840889675415798,-0.2603887552703317
331810 (SAINT ANDRE DE CUBZAC PDC1),0.028095552428552623,0.5531407282483639,0.054013228858526,-0.11458192502976913,0.8872973635588117,0.7602394592353974,0.9163389509953218,0.9047929229880981,0.6887425993698614,-0.5209647495696524,-0.5067339894006362,0.9713109733743899,0.8810279223214192,0.9505698771867409,1.0,0.6570148709252642,0.7251008534540074,0.15864352963305772,-0.447102656136472,0.8499715233669938,-0.24194202870808565
331940 (SAINT MEDARD EN JALLES PPDC),-0.4746388372804259,0.3298278910199659,0.40891374238752537,-0.38847756028983643,0.6274607794856282,0.7506615107555917,0.6707016386198508,0.6668362937128538,0.96797297194573,-0.025722050474635254,-0.07476424458790067,0.6153748892705926,0.6686877053300466,0.7211860591621367,0.6570148709252642,1.0,0.734288654294188,-0.38455361634391544,-0.15811105851751245,0.6768496764930775,-0.48660273566915946
332150 (CESTAS PDC1),-0.01929512086416241,0.6544702802837855,0.1330924003224946,-0.0026069433800284805,0.6533727604412943,0.5471292929241227,0.7010269636834648,0.6753280801204794,0.6841740135972078,-0.09713155638402857,-0.43494969821892704,0.7297154446677895,0.627972087829915,0.7347497705064584,0.7251008534540075,0.7342886542941881,1.0,0.013545498119498183,-0.18578278089960465,0.6332343724270163,-0.03955846103836577
335520 (TARGON PDC1),0.9540546766646113,0.04937059513210427,-0.012954376541052751,0.81270127579299,0.1198434423900766,-0.3648661114995881,-0.008267400527833446,-0.00504774070331989,-0.3475221466019294,-0.12107016550261217,-0.05553552089514029,0.2645524533731083,0.15035722776205535,0.06358131263622104,0.1586435296330577,-0.38455361634391544,0.01354549811949818,1.0,-0.08692709561256028,-0.1176575189874519,0.7862524957637389
872240 (LIMOGES ACP),-0.058124851585656154,-0.04774015585443338,-0.08335356150542568,0.016058125342137942,-0.37661079578127676,-0.27260240960830984,-0.47077169136257796,-0.5843406573702128,-0.10628816959461274,0.3719868846794948,0.5444140298540282,-0.5054190126955949,-0.4907567252159765,-0.4952302788935456,-0.447102656136472,-0.15811105851751242,-0.18578278089960462,-0.0869270956125603,1.0,-0.3166812668707678,0.05813979024545478
872260 (BESSINES SUR GARTEMPE PDC1),-0.2572758300299055,0.5141985184805425,0.010605560595820197,-0.49684207787036555,0.8451485962849564,0.8524095528712505,0.8732964395363539,0.8432352228824854,0.7381743239770318,-0.3894736296952537,-0.36394688954312376,0.821373471797176,0.736109123072269,0.840889675415798,0.8499715233669938,0.6768496764930775,0.6332343724270163,-0.1176575189874519,-0.3166812668707678,1.0,-0.5315437702979675
872440 (CHATEAUPONSAC PDC2),0.8644194889874125,-0.03731284720420549,-0.01702135144586979,0.9523325146372236,-0.2325658924899006,-0.6579695334351845,-0.3662490028836913,-0.2665005353925678,-0.5309747725195118,0.08852941908753678,0.007944746414786947,-0.11144922624245067,-0.2140957619804036,-0.26038875527033173,-0.2419420287080857,-0.4866027356691595,-0.039558461038365786,0.786252495763739,0.058139790245454834,-0.5315437702979676,1.0
