model,hub,season,scenario,outbound_qty
Static,1,4,5,0.0
Static,1,4,6,0.0
Static,1,4,7,0.0
Static,1,4,8,0.0
Static,1,4,9,0.0
Static,1,4,10,0.0
Static,1,4,11,0.0
Static,1,4,12,0.0
Static,1,4,13,0.0
Static,1,4,14,0.0
Static,1,4,15,0.0
Static,2,1,0,0.0
Static,2,1,1,0.0
Static,2,1,2,0.0
Static,2,1,3,0.0
Static,2,1,4,0.0
Static,2,1,5,0.0
Static,2,1,6,0.0
Static,2,1,7,0.0
Static,2,1,8,0.0
Static,2,1,9,0.0
Static,2,1,10,0.0
Static,2,1,11,0.0
Static,2,1,12,0.0
Static,2,1,13,0.0
Static,2,1,14,0.0
Static,2,1,15,0.0
Static,2,2,0,0.0
Static,2,2,1,0.0
Static,2,2,2,0.0
Static,2,2,3,0.0
Static,2,2,4,0.0
Static,2,2,5,0.0
Static,2,2,6,0.0
Static,2,2,7,0.0
Static,2,2,8,0.0
Static,2,2,9,0.0
Static,2,2,10,0.0
Static,2,2,11,0.0
Static,2,2,12,0.0
Static,2,2,13,0.0
Static,2,2,14,0.0
Static,2,2,15,0.0
Static,2,3,0,0.0
Static,2,3,1,0.0
Static,2,3,2,0.0
Static,2,3,3,0.0
Static,2,3,4,0.0
Static,2,3,5,0.0
Static,2,3,6,0.0
Static,2,3,7,0.0
Static,2,3,8,0.0
Static,2,3,9,0.0
Static,2,3,10,0.0
Static,2,3,11,0.0
Static,2,3,12,0.0
Static,2,3,13,0.0
Static,2,3,14,0.0
Static,2,3,15,0.0
Static,2,4,0,0.0
Static,2,4,1,0.0
Static,2,4,2,0.0
Static,2,4,3,0.0
Static,2,4,4,0.0
Static,2,4,5,0.0
Static,2,4,6,0.0
Static,2,4,7,0.0
Static,2,4,8,0.0
Static,2,4,9,0.0
Static,2,4,10,0.0
Static,2,4,11,0.0
Static,2,4,12,0.0
Static,2,4,13,0.0
Static,2,4,14,0.0
Static,2,4,15,0.0
MNP,0,1,0,0.0
MNP,0,1,1,0.0
MNP,0,1,2,0.0
MNP,0,1,3,0.0
MNP,0,1,4,0.0
MNP,0,1,5,0.0
MNP,0,1,6,0.0
MNP,0,1,7,0.0
MNP,0,1,8,0.0
MNP,0,1,9,0.0
MNP,0,1,10,0.0
MNP,0,1,11,0.0
MNP,0,1,12,0.0
MNP,0,1,13,0.0
MNP,0,1,14,0.0
MNP,0,1,15,0.0
MNP,0,2,0,0.0
MNP,0,2,1,0.0
MNP,0,2,2,0.0
MNP,0,2,3,0.0
MNP,0,2,4,0.0
MNP,0,2,5,0.0
MNP,0,2,6,0.0
MNP,0,2,7,0.0
MNP,0,2,8,0.0
MNP,0,2,9,0.0
MNP,0,2,10,0.0
MNP,0,2,11,0.0
MNP,0,2,12,0.0
MNP,0,2,13,0.0
MNP,0,2,14,0.0
MNP,0,2,15,0.0
MNP,0,3,0,0.0
MNP,0,3,1,0.0
MNP,0,3,2,0.0
MNP,0,3,3,0.0
MNP,0,3,4,0.0
MNP,0,3,5,0.0
MNP,0,3,6,0.0
MNP,0,3,7,0.0
MNP,0,3,8,0.0
MNP,0,3,9,0.0
MNP,0,3,10,0.0
MNP,0,3,11,0.0
MNP,0,3,12,0.0
MNP,0,3,13,0.0
MNP,0,3,14,0.0
MNP,0,3,15,0.0
MNP,0,4,0,0.0
MNP,0,4,1,0.0
MNP,0,4,2,0.0
MNP,0,4,3,0.0
MNP,0,4,4,0.0
MNP,0,4,5,0.0
MNP,0,4,6,0.0
MNP,0,4,7,0.0
MNP,0,4,8,0.0
MNP,0,4,9,0.0
MNP,0,4,10,0.0
MNP,0,4,11,0.0
MNP,0,4,12,0.0
MNP,0,4,13,0.0
MNP,0,4,14,0.0
MNP,0,4,15,0.0
MNP,1,1,0,0.0
MNP,1,1,1,0.0
MNP,1,1,2,0.0
MNP,1,1,3,0.0
MNP,1,1,4,0.0
MNP,1,1,5,0.0
MNP,1,1,6,0.0
MNP,1,1,7,0.0
MNP,1,1,8,0.0
MNP,1,1,9,0.0
MNP,1,1,10,0.0
MNP,1,1,11,0.0
MNP,1,1,12,0.0
MNP,1,1,13,0.0
MNP,1,1,14,0.0
MNP,1,1,15,0.0
MNP,1,2,0,0.0
MNP,1,2,1,0.0
MNP,1,2,2,0.0
MNP,1,2,3,0.0
MNP,1,2,4,0.0
MNP,1,2,5,0.0
MNP,1,2,6,0.0
MNP,1,2,7,0.0
MNP,1,2,8,0.0
MNP,1,2,9,0.0
MNP,1,2,10,0.0
MNP,1,2,11,0.0
MNP,1,2,12,0.0
MNP,1,2,13,0.0
MNP,1,2,14,0.0
MNP,1,2,15,0.0
MNP,1,3,0,0.0
MNP,1,3,1,0.0
MNP,1,3,2,0.0
MNP,1,3,3,0.0
MNP,1,3,4,0.0
MNP,1,3,5,0.0
MNP,1,3,6,0.0
MNP,1,3,7,0.0
MNP,1,3,8,0.0
MNP,1,3,9,0.0
MNP,1,3,10,0.0
MNP,1,3,11,0.0
MNP,1,3,12,0.0
MNP,1,3,13,0.0
MNP,1,3,14,0.0
MNP,1,3,15,0.0
MNP,1,4,0,0.0
MNP,1,4,1,0.0
MNP,1,4,2,0.0
MNP,1,4,3,0.0
MNP,1,4,4,0.0
MNP,1,4,5,0.0
MNP,1,4,6,0.0
MNP,1,4,7,0.0
MNP,1,4,8,0.0
MNP,1,4,9,0.0
MNP,1,4,10,0.0
MNP,1,4,11,0.0
MNP,1,4,12,0.0
MNP,1,4,13,0.0
MNP,1,4,14,0.0
MNP,1,4,15,0.0
MNP,2,1,0,0.0
MNP,2,1,1,0.0
MNP,2,1,2,0.0
MNP,2,1,3,0.0
MNP,2,1,4,0.0
MNP,2,1,5,0.0
MNP,2,1,6,0.0
MNP,2,1,7,0.0
MNP,2,1,8,0.0
MNP,2,1,9,0.0
MNP,2,1,10,0.0
MNP,2,1,11,0.0
MNP,2,1,12,0.0
MNP,2,1,13,0.0
MNP,2,1,14,0.0
MNP,2,1,15,0.0
MNP,2,2,0,0.0
MNP,2,2,1,0.0
MNP,2,2,2,0.0
MNP,2,2,3,0.0
MNP,2,2,4,0.0
MNP,2,2,5,0.0
MNP,2,2,6,0.0
MNP,2,2,7,0.0
MNP,2,2,8,0.0
MNP,2,2,9,0.0
MNP,2,2,10,0.0
MNP,2,2,11,0.0
MNP,2,2,12,0.0
MNP,2,2,13,0.0
MNP,2,2,14,0.0
MNP,2,2,15,0.0
MNP,2,3,0,0.0
MNP,2,3,1,0.0
MNP,2,3,2,0.0
MNP,2,3,3,0.0
MNP,2,3,4,0.0
MNP,2,3,5,0.0
MNP,2,3,6,0.0
MNP,2,3,7,0.0
MNP,2,3,8,0.0
MNP,2,3,9,0.0
MNP,2,3,10,0.0
MNP,2,3,11,0.0
MNP,2,3,12,0.0
MNP,2,3,13,0.0
MNP,2,3,14,0.0
MNP,2,3,15,0.0
MNP,2,4,0,0.0
MNP,2,4,1,0.0
MNP,2,4,2,0.0
MNP,2,4,3,0.0
MNP,2,4,4,0.0
MNP,2,4,5,0.0
MNP,2,4,6,0.0
MNP,2,4,7,0.0
MNP,2,4,8,0.0
MNP,2,4,9,0.0
MNP,2,4,10,0.0
MNP,2,4,11,0.0
MNP,2,4,12,0.0
MNP,2,4,13,0.0
MNP,2,4,14,0.0
MNP,2,4,15,0.0
MRP,0,1,0,22.0
MRP,0,1,1,28.0
MRP,0,1,2,30.0
MRP,0,1,3,28.0
MRP,0,1,4,17.0
MRP,0,1,5,18.0
MRP,0,1,6,33.0
MRP,0,1,7,36.0
MRP,0,1,8,30.0
MRP,0,1,9,23.0
MRP,0,1,10,27.0
MRP,0,1,11,36.0
MRP,0,1,12,28.0
MRP,0,1,13,16.0
MRP,0,1,14,34.0
MRP,0,1,15,25.0
MRP,0,2,0,16.0
MRP,0,2,1,21.0
MRP,0,2,2,18.0
MRP,0,2,3,24.0
MRP,0,2,4,32.0
MRP,0,2,5,28.0
MRP,0,2,6,28.0
MRP,0,2,7,26.0
MRP,0,2,8,33.0
MRP,0,2,9,32.0
MRP,0,2,10,29.0
MRP,0,2,11,21.0
MRP,0,2,12,35.0
MRP,0,2,13,35.0
MRP,0,2,14,38.0
MRP,0,2,15,35.0
MRP,0,3,0,26.0
MRP,0,3,1,32.0
MRP,0,3,2,21.0
MRP,0,3,3,42.0
MRP,0,3,4,40.0
MRP,0,3,5,41.0
MRP,0,3,6,38.0
MRP,0,3,7,37.0
MRP,0,3,8,26.0
MRP,0,3,9,12.0
MRP,0,3,10,17.0
MRP,0,3,11,9.0
MRP,0,3,12,46.0
MRP,0,3,13,57.0
MRP,0,3,14,7.0
MRP,0,3,15,12.0
MRP,0,4,0,11.0
MRP,0,4,1,27.0
MRP,0,4,2,36.0
MRP,0,4,3,26.0
MRP,0,4,4,39.0
MRP,0,4,5,19.0
MRP,0,4,6,12.0
MRP,0,4,7,16.0
MRP,0,4,8,10.0
MRP,0,4,9,12.0
MRP,0,4,10,15.0
MRP,0,4,11,66.0
MRP,0,4,12,9.0
MRP,0,4,13,21.0
MRP,0,4,14,62.0
MRP,0,4,15,21.0
MRP,1,1,0,139.0
MRP,1,1,1,119.0
MRP,1,1,2,122.0
MRP,1,1,3,130.0
MRP,1,1,4,115.0
MRP,1,1,5,121.0
MRP,1,1,6,110.0
MRP,1,1,7,121.0
MRP,1,1,8,149.0
MRP,1,1,9,148.0
MRP,1,1,10,129.0
MRP,1,1,11,131.0
MRP,1,1,12,152.0
MRP,1,1,13,134.0
MRP,1,1,14,128.0
MRP,1,1,15,148.0
MRP,1,2,0,186.0
MRP,1,2,1,190.0
MRP,1,2,2,204.0
MRP,1,2,3,184.0
MRP,1,2,4,105.0
MRP,1,2,5,48.0
MRP,1,2,6,64.0
MRP,1,2,7,69.0
MRP,1,2,8,131.0
MRP,1,2,9,109.0
MRP,1,2,10,100.0
MRP,1,2,11,74.0
MRP,1,2,12,181.0
MRP,1,2,13,176.0
MRP,1,2,14,179.0
MRP,1,2,15,172.0
MRP,1,3,0,73.0
MRP,1,3,1,106.0
MRP,1,3,2,63.0
MRP,1,3,3,90.0
MRP,1,3,4,84.0
MRP,1,3,5,132.0
MRP,1,3,6,173.0
MRP,1,3,7,149.0
MRP,1,3,8,142.0
MRP,1,3,9,135.0
MRP,1,3,10,77.0
MRP,1,3,11,84.0
MRP,1,3,12,133.0
MRP,1,3,13,151.0
MRP,1,3,14,121.0
MRP,1,3,15,121.0
MRP,1,4,0,66.0
MRP,1,4,1,39.0
MRP,1,4,2,105.0
MRP,1,4,3,56.0
MRP,1,4,4,113.0
MRP,1,4,5,155.0
MRP,1,4,6,54.0
MRP,1,4,7,65.0
MRP,1,4,8,86.0
MRP,1,4,9,117.0
MRP,1,4,10,114.0
MRP,1,4,11,130.0
MRP,1,4,12,60.0
MRP,1,4,13,39.0
MRP,1,4,14,213.0
MRP,1,4,15,179.0
MRP,2,1,0,192.0
MRP,2,1,1,182.0
MRP,2,1,2,179.0
MRP,2,1,3,167.0
MRP,2,1,4,155.0
MRP,2,1,5,156.0
MRP,2,1,6,129.0
MRP,2,1,7,148.0
MRP,2,1,8,169.0
MRP,2,1,9,169.0
MRP,2,1,10,164.0
MRP,2,1,11,161.0
MRP,2,1,12,228.0
MRP,2,1,13,213.0
MRP,2,1,14,213.0
MRP,2,1,15,223.0
MRP,2,2,0,163.0
MRP,2,2,1,171.0
MRP,2,2,2,185.0
MRP,2,2,3,181.0
MRP,2,2,4,123.0
MRP,2,2,5,85.0
MRP,2,2,6,109.0
MRP,2,2,7,100.0
MRP,2,2,8,155.0
MRP,2,2,9,121.0
MRP,2,2,10,107.0
MRP,2,2,11,94.0
MRP,2,2,12,168.0
MRP,2,2,13,156.0
MRP,2,2,14,190.0
MRP,2,2,15,179.0
MRP,2,3,0,95.0
MRP,2,3,1,105.0
MRP,2,3,2,92.0
MRP,2,3,3,58.0
MRP,2,3,4,79.0
MRP,2,3,5,109.0
MRP,2,3,6,148.0
MRP,2,3,7,145.0
MRP,2,3,8,142.0
MRP,2,3,9,145.0
MRP,2,3,10,109.0
MRP,2,3,11,86.0
MRP,2,3,12,129.0
MRP,2,3,13,127.0
MRP,2,3,14,122.0
MRP,2,3,15,84.0
MRP,2,4,0,58.0
MRP,2,4,1,51.0
MRP,2,4,2,70.0
MRP,2,4,3,89.0
MRP,2,4,4,82.0
MRP,2,4,5,136.0
MRP,2,4,6,36.0
MRP,2,4,7,47.0
MRP,2,4,8,69.0
MRP,2,4,9,74.0
MRP,2,4,10,63.0
MRP,2,4,11,100.0
MRP,2,4,12,68.0
MRP,2,4,13,38.0
MRP,2,4,14,114.0
MRP,2,4,15,120.0
